nrow,id,dia,aerolinea,destino,region,dest_size,area_abordaje,fecha_salida,espera_min,limpieza,seguridad,satisfaccion,espera_hr,espera_tipo,tipo_dia_semana
1475,2423,miércoles,AIR NEW ZEALAND,AUCKLAND,australia / nueva zelanda,Medium,Gates 91-102,2018-12-31,235.0,Limpio,Muy seguro,Muy satisfecho,3.9166666666666665,largo,weekday
1476,2830,martes,UNITED,BURBANK,oeste de ee. uu.,Small,Gates 70-90,2018-12-31,73.0,Limpio,Muy seguro,Algo satisfecho,1.2166666666666666,medio,weekday
1477,915,viernes,AIR CANADA,TORONTO,canadá / méxico,Hub,Gates 91-102,2018-12-31,180.0,Algo limpio,Algo seguro,Muy satisfecho,3.0,medio,weekday
1478,1991,martes,UNITED,BALTIMORE,east us,Medium,Gates 60-69,2018-12-31,85.0000000000001,Algo limpio,Muy seguro,Algo satisfecho,1.4166666666666683,medio,weekday
1479,559,jueves,ALASKA,SEATTLE,oeste de ee. uu.,Hub,Gates 50-59,2018-12-31,100.0,Algo limpio,Muy seguro,Algo satisfecho,1.6666666666666667,medio,weekday
1480,306,jueves,UNITED,SAN DIEGO,oeste de ee. uu.,Medium,Gates 70-90,2018-12-31,122.0,Algo limpio,Muy seguro,Algo satisfecho,2.033333333333333,medio,weekday
1482,1108,jueves,DELTA,MINNEAPOLIS-ST. PAUL,medio oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,105.0,Promedio,Neutral,Algo insatisfecho,1.75,medio,weekday
1483,1394,martes,UNITED INTL,PARIS-DE GAULLE,europa,Hub,Gates 91-102,2018-12-31,195.0,Algo limpio,Algo seguro,Algo satisfecho,3.25,largo,weekday
1484,1347,martes,UNITED INTL,SHANGHAI,asia,Hub,Gates 91-102,2018-12-31,110.0,Algo limpio,Muy seguro,Algo satisfecho,1.8333333333333333,medio,weekday
1485,762,jueves,AIR CANADA,TORONTO,canadá / méxico,Hub,Gates 91-102,2018-12-31,85.0,Limpio,Algo seguro,Algo satisfecho,1.4166666666666667,medio,weekday
1486,223,miércoles,AMERICAN,LOS ANGELES,oeste de ee. uu.,Hub,Gates 50-59,2018-12-31,130.0,Algo limpio,Algo seguro,Algo satisfecho,2.1666666666666665,medio,weekday
1487,1074,viernes,AIR CANADA,CALGARY,canadá / méxico,Medium,Gates 91-102,2018-12-31,325.0,Algo limpio,Muy seguro,Algo satisfecho,5.416666666666667,largo,weekday
1491,1558,miércoles,DELTA,ATLANTA,este de ee. uu.,Hub,Gates 40-48,2018-12-31,105.0,Algo limpio,Muy seguro,Algo satisfecho,1.75,medio,weekday
1493,1468,miércoles,AVIANCA,SAN SALVADOR,centroamérica / sudamérica,Small,Gates 1-12,2018-12-31,130.0,Algo limpio,Algo seguro,Algo satisfecho,2.1666666666666665,medio,weekday
1494,1035,viernes,AIR CANADA,VANCOUVER,canadá / méxico,Medium,Gates 91-102,2018-12-31,94.9999999999998,Promedio,Algo seguro,Algo satisfecho,1.58333333333333,medio,weekday
1495,2456,viernes,UNITED,DENVER,oeste de ee. uu.,Hub,Gates 70-90,2018-12-31,86.0,Promedio,Neutral,Neutral,1.4333333333333333,medio,weekday
1496,3118,domingo,ALASKA,NEWARK,este de ee. uu.,Hub,Gates 50-59,2018-12-31,94.9999999999998,Promedio,Neutral,Algo insatisfecho,1.58333333333333,medio,weekend
1497,2629,martes,JETBLUE,NUEVA YORK-JFK,este de ee. uu.,Hub,Gates 1-12,2018-12-31,90.0,Promedio,Muy seguro,Algo satisfecho,1.5,medio,weekday
1498,393,viernes,ALASKA,INDIANAPOLIS,medio oeste de ee. uu.,Medium,Gates 50-59,2018-12-31,160.0,Algo limpio,Muy seguro,Algo satisfecho,2.6666666666666665,medio,weekday
1499,1889,miércoles,SINGAPORE AIRLINES,SINGAPUR,asia,Hub,Gates 91-102,2018-12-31,120.0,Limpio,Muy seguro,Algo satisfecho,2.0,medio,weekday
1500,1235,jueves,ESTE DE CHINA,SHANGHAI,asia,Hub,Gates 1-12,2018-12-31,130.0,Limpio,Algo seguro,Neutral,2.1666666666666665,medio,weekday
1501,2061,viernes,UNITED,NEWARK,east us,Hub,Gates 70-90,2018-12-31,120.0,Algo limpio,Algo seguro,Muy satisfecho,2.0,medio,weekday
1502,2907,jueves,DELTA,SEATTLE,oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,90.0,Limpio,Muy seguro,Algo satisfecho,1.5,medio,weekday
1504,438,domingo,UNITED,INDIANAPOLIS,medio oeste de ee. uu.,Medium,Gates 60-69,2018-12-31,82.9999999999999,Algo limpio,Algo seguro,Algo satisfecho,1.3833333333333317,medio,weekend
1505,580,jueves,ALASKA,SEATTLE,oeste de ee. uu.,Hub,Gates 50-59,2018-12-31,50.0,Limpio,Muy seguro,Algo satisfecho,0.8333333333333334,corto,weekday
1506,1892,miércoles,SINGAPORE AIRLINES,SINGAPUR,asia,Hub,Gates 91-102,2018-12-31,165.0,Limpio,Algo seguro,Algo satisfecho,2.75,medio,weekday
1507,491,domingo,UNITED,DENVER,oeste de ee. uu.,Hub,Gates 70-90,2018-12-31,246.0,Promedio,Muy seguro,Algo satisfecho,4.1,largo,weekend
1508,3192,jueves,DELTA,LOS ÁNGELES,oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,135.0,Algo limpio,Muy seguro,Algo satisfecho,2.25,medio,weekday
1509,1579,miércoles,UNITED INTL,HONG KONG,asia,Hub,Gates 91-102,2018-12-31,180.0,Algo limpio,Muy seguro,Algo satisfecho,3.0,medio,weekday
1510,1175,jueves,DELTA,NUEVA YORK-JFK,este de ee. uu.,Hub,Gates 40-48,2018-12-31,140.0,Limpio,Muy seguro,Algo satisfecho,2.3333333333333335,medio,weekday
1511,1600,miércoles,SINGAPORE AIRLINES,SINGAPUR,asia,Hub,Gates 91-102,2018-12-31,210.0,Algo limpio,Algo seguro,Neutral,3.5,largo,weekday
1512,1904,martes,UNITED,BOSTON,este de ee. uu.,Large,Gates 70-90,2018-12-31,115.0,Algo limpio,Neutral,Algo satisfecho,1.9166666666666667,medio,weekday
1513,1151,martes,SUDOESTE,LOS ÁNGELES,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,60.00000000000011,Limpio,Muy seguro,Muy satisfecho,1.0000000000000018,medio,weekday
1514,1895,lunes,LUFTHANSA,MUNICH,europa,Hub,Gates 91-102,2018-12-31,175.0,Algo limpio,Muy seguro,Algo satisfecho,2.9166666666666665,medio,weekday
1515,2433,martes,UNITED,HONOLULU,west us,Medium,Gates 70-90,2018-12-31,55.0,Limpio,Muy seguro,Muy satisfecho,0.9166666666666666,corto,weekday
1516,2706,miércoles,AIR FRANCE / KLM,PARIS-DE GAULLE,europa,Hub,Gates 1-12,2018-12-31,105.0,Limpio,Algo seguro,Algo satisfecho,1.75,medio,weekday
1517,1832,domingo,ALASKA,RALEIGH-DURHAM,este de ee. uu.,Medium,Gates 50-59,2018-12-31,130.0,Limpio,Muy seguro,Muy satisfecho,2.1666666666666665,medio,weekend
1519,1645,sábado,VIRGIN ATLANTIC,LONDON HEATHROW,europa,Hub,Gates 1-12,2018-12-31,170.0,Algo limpio,Algo seguro,Algo satisfecho,2.8333333333333335,medio,weekend
1520,2993,jueves,UNITED,BALTIMORE,este de ee. uu.,Medium,Gates 70-90,2018-12-31,104.0,Algo sucio,Algo seguro,Neutral,1.7333333333333334,medio,weekday
1521,1433,sábado,UNITED,PORTLAND,oeste de ee. uu.,Medium,Gates 70-90,2018-12-31,160.0,Algo limpio,Muy seguro,Algo satisfecho,2.6666666666666665,medio,weekend
1522,3057,domingo,PHILIPPINE AIRLINES,MANILA,asia,Medium,Gates 1-12,2018-01-01,335.0,Algo limpio,Algo seguro,Algo satisfecho,5.583333333333333,largo,weekend
1523,2928,viernes,TURKISH AIRLINES,ESTAMBUL,medio oriente,Hub,Gates 91-102,2018-12-31,315.0,Algo limpio,Neutral,Algo satisfecho,5.25,largo,weekday
1524,3134,domingo,ALASKA,NEWARK,este de ee. uu.,Hub,Gates 50-59,2018-12-31,215.0,Limpio,Muy seguro,Muy satisfecho,3.5833333333333335,largo,weekend
1525,2889,miércoles,UNITED,AUSTIN,medio oeste de ee. uu.,Medium,Gates 70-90,2018-12-31,64.9999999999999,Algo limpio,Algo seguro,Algo satisfecho,1.0833333333333317,medio,weekday
1526,2973,miércoles,AMERICAN,CHARLOTTE,east us,Hub,Gates 50-59,2018-12-31,120.0,Algo limpio,Muy seguro,Algo satisfecho,2.0,medio,weekday
1527,2197,miércoles,AER LINGUS,DUBLIN,europa,Large,Gates 91-102,2018-12-31,210.0,Promedio,Muy seguro,Algo satisfecho,3.5,largo,weekday
1528,1703,domingo,AIR FRANCE / KLM,PARIS-DE GAULLE,europa,Hub,Gates 1-12,2018-12-31,150.0,Limpio,Muy seguro,Muy satisfecho,2.5,medio,weekend
1529,385,viernes,ALASKA,LOS ÁNGELES,oeste de ee. uu.,Hub,Gates 50-59,2018-12-31,145.0,Algo limpio,Algo seguro,Algo satisfecho,2.4166666666666665,medio,weekday
1530,872,martes,AMERICAN,DALLAS-FT. VALOR,medio oeste de ee. uu.,Hub,Gates 50-59,2018-12-31,985.0,Promedio,Neutral,Neutral,16.416666666666668,largo,weekday
1531,593,jueves,JETBLUE,BOSTON,este de ee. uu.,Large,Gates 1-12,2018-12-31,102.0,Limpio,Algo seguro,Muy satisfecho,1.7,medio,weekday
1532,2225,miércoles,AER LINGUS,DUBLIN,europa,Large,Gates 91-102,2018-12-31,300.0,Algo limpio,Algo seguro,Neutral,5.0,largo,weekday
1533,3083,domingo,PHILIPPINE AIRLINES,MANILA,asia,Medium,Gates 1-12,2018-01-01,185.0,Algo limpio,Algo seguro,Algo satisfecho,3.0833333333333335,largo,weekend
1534,1357,martes,UNITED INTL,SHANGHAI,asia,Hub,Gates 91-102,2018-12-31,185.0,Limpio,Muy seguro,Muy satisfecho,3.0833333333333335,largo,weekday
1535,610,jueves,JETBLUE,BOSTON,este de ee. uu.,Large,Gates 1-12,2018-12-31,162.0,Algo limpio,Muy seguro,Algo satisfecho,2.7,medio,weekday
1536,1062,viernes,AIR CANADA,CALGARY,canadá / méxico,Medium,Gates 91-102,2018-12-31,325.0,Algo limpio,Muy seguro,Algo satisfecho,5.416666666666667,largo,weekday
1537,1901,lunes,LUFTHANSA,MUNICH,europa,Hub,Gates 91-102,2018-12-31,235.0,Limpio,Algo seguro,Algo satisfecho,3.9166666666666665,largo,weekday
1538,1488,miércoles,FRONTIER,DENVER,oeste de ee. uu.,Hub,Gates 20-39,2018-01-01,179.0,Limpio,Algo seguro,Algo satisfecho,2.9833333333333334,medio,weekday
1539,1102,jueves,DELTA,MINNEAPOLIS-ST. PAUL,medio oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,150.0,Algo limpio,Algo seguro,Algo satisfecho,2.5,medio,weekday
1540,1578,miércoles,DELTA,DETROIT,medio oeste de ee. uu.,Large,Gates 40-48,2018-12-31,115.0,Limpio,Neutral,Muy satisfecho,1.9166666666666667,medio,weekday
1541,757,jueves,AIR CANADA,TORONTO,canadá / méxico,Hub,Gates 91-102,2018-12-31,115.0,Limpio,Muy seguro,Neutral,1.9166666666666667,medio,weekday
1542,1774,jueves,AMERICAN,CHICAGO-O'HARE,midwest us,Hub,Gates 50-59,2018-12-31,145.0,Limpio,Muy seguro,Muy satisfecho,2.4166666666666665,medio,weekday
1544,1979,viernes,CATHAY PACIFIC,HONG KONG,asia,Hub,Gates 1-12,2018-12-31,185.0,Algo limpio,Muy seguro,Algo satisfecho,3.0833333333333335,largo,weekday
1545,2144,miércoles,AIR CANADA,VANCOUVER,canadá / méxico,Medium,Gates 91-102,2018-12-31,125.0,Promedio,Neutral,Neutral,2.0833333333333335,medio,weekday
1546,279,jueves,UNITED,BALTIMORE,east us,Medium,Gates 70-90,2018-12-31,644.0,Algo limpio,Muy seguro,Algo satisfecho,10.733333333333333,largo,weekday
1547,2388,miércoles,UNITED INTL,SYDNEY,australia / nueva zelanda,Hub,Gates 91-102,2018-12-31,125.0,Algo limpio,Algo seguro,Neutral,2.0833333333333335,medio,weekday
1548,2858,martes,UNITED,SEATTLE,oeste de ee. uu.,Hub,Gates 70-90,2018-12-31,57.0,Promedio,Algo seguro,Neutral,0.95,corto,weekday
1549,3072,martes,UNITED,SPOKANE,oeste de ee. uu.,Small,Gates 70-90,2018-12-31,342.0,Algo limpio,Muy seguro,Algo satisfecho,5.7,largo,weekday
1550,1331,martes,UNITED INTL,KANSAI,asia,Hub,Gates 91-102,2018-12-31,50.00000000000011,Algo limpio,Neutral,Algo satisfecho,0.8333333333333351,corto,weekday
1551,652,martes,ALASKA,WASHINGTON DC-DULLES,este de ee. uu.,Medium,Gates 50-59,2018-12-31,185.0,Limpio,Muy seguro,Muy satisfecho,3.0833333333333335,largo,weekday
1552,2286,miércoles,QANTAS,SYDNEY,australia / nueva zelanda,Hub,Gates 1-12,2018-12-31,165.0,Algo limpio,Algo seguro,Neutral,2.75,medio,weekday
1553,268,viernes,AIR CANADA,TORONTO,canadá / méxico,Hub,Gates 91-102,2018-12-31,175.0,Algo limpio,Muy seguro,Algo satisfecho,2.9166666666666665,medio,weekday
1554,3158,jueves,DELTA,SALT LAKE CITY,oeste de ee. uu.,Medium,Gates 40-48,2018-12-31,45.0,Promedio,Algo seguro,Neutral,0.75,corto,weekday
1555,3096,domingo,ALASKA,NEWARK,este de ee. uu.,Hub,Gates 50-59,2018-12-31,245.0,Algo limpio,Muy seguro,Algo satisfecho,4.083333333333333,largo,weekend
1556,1790,sábado,UNITED,RALEIGH-DURHAM,este de ee. uu.,Medium,Gates 70-90,2018-12-31,110.0,Algo limpio,Muy seguro,Algo satisfecho,1.8333333333333333,medio,weekend
1557,2876,viernes,EVA AIR,TAIPEI,asia,Hub,Gates 91-102,2018-12-31,300.0,Algo limpio,Muy seguro,Algo satisfecho,5.0,largo,weekday
1558,1114,martes,SUDOESTE,SAN DIEGO,oeste de ee. uu.,Medium,Gates 20-39,2018-12-31,90.0,Algo limpio,Algo seguro,Algo satisfecho,1.5,medio,weekday
1559,1398,martes,UNITED INTL,SHANGHAI,asia,Hub,Gates 91-102,2018-12-31,100.0,Limpio,Muy seguro,Neutral,1.6666666666666667,medio,weekday
1560,3201,martes,UNITED,ONTARIO (CALIF),oeste de ee. uu.,Small,Gates 70-90,2018-12-31,95.0,Limpio,Algo seguro,Algo satisfecho,1.5833333333333333,medio,weekday
1561,2791,domingo,WOW,REYKJAVIK,europa,Small,Gates 1-12,2018-12-31,145.0,Algo limpio,Algo seguro,Algo satisfecho,2.4166666666666665,medio,weekend
1563,655,viernes,UNITED INTL,MUNICH,europa,Hub,Gates 91-102,2018-12-31,445.0,Algo limpio,Muy seguro,Algo satisfecho,7.416666666666667,largo,weekday
1564,1536,miércoles,AIR CHINA,BEIJING,asia,Hub,Gates 91-102,2018-12-31,170.0,Algo limpio,Neutral,Neutral,2.8333333333333335,medio,weekday
1565,2563,martes,UNITED,CHICAGO-O'HARE,midwest us,Hub,Gates 60-69,2018-12-31,180.0,Algo limpio,Muy seguro,Algo satisfecho,3.0,medio,weekday
1566,2787,jueves,DELTA,ATLANTA,este de ee. uu.,Hub,Gates 40-48,2018-12-31,165.0,Algo limpio,Muy seguro,Algo satisfecho,2.75,medio,weekday
1567,1727,lunes,AIR CANADA,TORONTO,canadá / méxico,Hub,Gates 91-102,2018-12-31,100.0,Algo sucio,Neutral,Neutral,1.6666666666666667,medio,weekday
1568,2782,jueves,DELTA,ATLANTA,este de ee. uu.,Hub,Gates 40-48,2018-12-31,135.0,Algo limpio,Muy seguro,Neutral,2.25,medio,weekday
1569,1044,viernes,AIR CANADA,CALGARY,canadá / méxico,Medium,Gates 91-102,2018-12-31,355.0,Limpio,Muy seguro,Muy satisfecho,5.916666666666667,largo,weekday
1571,672,jueves,AIR FRANCE / KLM,PARIS-DE GAULLE,europa,Hub,Gates 1-12,2018-12-31,125.0,Promedio,Algo seguro,Neutral,2.0833333333333335,medio,weekday
1572,1856,domingo,ALASKA,KAHULUI,oeste de ee. uu.,Small,Gates 50-59,2018-12-31,70.0000000000001,Algo limpio,Muy seguro,Algo satisfecho,1.1666666666666683,medio,weekend
1574,596,jueves,JETBLUE,BOSTON,este de ee. uu.,Large,Gates 1-12,2018-12-31,87.0,Limpio,Muy seguro,Muy satisfecho,1.45,medio,weekday
1576,2168,miércoles,FRONTIER,DENVER,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,213.0,Limpio,Muy seguro,Muy satisfecho,3.55,largo,weekday
1578,871,martes,ALASKA,SEATTLE,oeste de ee. uu.,Hub,Gates 50-59,2018-12-31,325.0,Limpio,Muy seguro,Algo satisfecho,5.416666666666667,largo,weekday
1579,2880,viernes,EVA AIR,TAIPEI,asia,Hub,Gates 91-102,2018-12-31,120.0,Algo limpio,Muy seguro,Algo satisfecho,2.0,medio,weekday
1580,2228,miércoles,AER LINGUS,DUBLIN,europa,Large,Gates 91-102,2018-12-31,225.0,Algo limpio,Muy seguro,Algo satisfecho,3.75,largo,weekday
1581,3044,martes,UNITED,PORTLAND,oeste de ee. uu.,Medium,Gates 70-90,2018-12-31,190.0,Promedio,Algo seguro,Neutral,3.1666666666666665,largo,weekday
1582,1860,martes,UNITED,LOS ANGELES,oeste de ee. uu.,Hub,Gates 60-69,2018-12-31,84.9999999999999,Promedio,Algo seguro,Neutral,1.416666666666665,medio,weekday
1583,1945,martes,UNITED,BOSTON,este de ee. uu.,Large,Gates 70-90,2018-12-31,145.0,Algo limpio,Muy seguro,Algo satisfecho,2.4166666666666665,medio,weekday
1584,2573,sábado,INTERJET,GUADALAJARA,canadá / méxico,Medium,Gates 1-12,2018-12-31,105.0,Limpio,Muy seguro,Muy satisfecho,1.75,medio,weekend
1585,2238,miércoles,AER LINGUS,DUBLIN,europa,Large,Gates 91-102,2018-12-31,195.0,Algo limpio,Neutral,Neutral,3.25,largo,weekday
1586,2786,domingo,WOW,REYKJAVIK,europa,Small,Gates 1-12,2018-12-31,265.0,Algo limpio,Algo seguro,Algo satisfecho,4.416666666666667,largo,weekend
1587,2148,miércoles,FRONTIER,DENVER,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,115.0,Algo limpio,Algo seguro,Algo satisfecho,1.9166666666666667,medio,weekday
1589,2335,jueves,AMERICAN,CHICAGO-O'HARE,midwest us,Hub,Gates 50-59,2018-12-31,119.0,Limpio,Algo seguro,Muy satisfecho,1.9833333333333334,medio,weekday
1590,318,jueves,UNITED,BURBANK,west us,Small,Gates 70-90,2018-12-31,250.0,Algo limpio,Algo seguro,Algo satisfecho,4.166666666666667,largo,weekday
1591,674,jueves,AIR FRANCE / KLM,PARIS-DE GAULLE,europa,Hub,Gates 1-12,2018-12-31,115.0,Limpio,Algo seguro,Neutral,1.9166666666666667,medio,weekday
1592,495,domingo,ALASKA,PORTLAND,oeste de ee. uu.,Medium,Gates 50-59,2018-12-31,118.0,Limpio,Muy seguro,Muy satisfecho,1.9666666666666666,medio,weekend
1593,3233,jueves,ALASKA,PORTLAND,oeste de ee. uu.,Medium,Gates 50-59,2018-12-31,220.0,Limpio,Muy seguro,Algo satisfecho,3.6666666666666665,largo,weekday
1594,1941,sábado,AIR FRANCE / KLM,PARIS-DE GAULLE,europa,Hub,Gates 1-12,2018-12-31,155.0,Promedio,Algo seguro,Neutral,2.5833333333333335,medio,weekend
1595,1025,viernes,AIR CANADA,VANCOUVER,canadá / méxico,Medium,Gates 91-102,2018-12-31,155.0,Algo limpio,Algo seguro,Neutral,2.5833333333333335,medio,weekday
1596,2968,miércoles,AMERICAN,CHARLOTTE,east us,Hub,Gates 50-59,2018-12-31,60.00000000000011,Algo limpio,Muy inseguro,Muy satisfecho,1.0000000000000018,medio,weekday
1597,3185,jueves,DELTA,LOS ANGELES,oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,59.99999999999989,Algo limpio,Muy seguro,Algo satisfecho,0.9999999999999982,corto,weekday
1598,3222,jueves,ALASKA,PORTLAND,oeste de ee. uu.,Medium,Gates 50-59,2018-12-31,130.0,Algo limpio,Muy seguro,Algo satisfecho,2.1666666666666665,medio,weekday
1600,1684,sábado,CATHAY PACIFIC,HONG KONG,asia,Hub,Gates 1-12,2018-12-31,275.0,Limpio,Algo seguro,Muy satisfecho,4.583333333333333,largo,weekend
1601,849,martes,ALASKA,PORTLAND,oeste de ee. uu.,Medium,Gates 50-59,2018-12-31,112.0,Algo limpio,Muy seguro,Algo satisfecho,1.8666666666666667,medio,weekday
1602,9001,miércoles,UNITED,AUSTIN,medio oeste de ee. uu.,Medium,Gates 70-90,2018-12-31,135.0,Promedio,Muy seguro,Neutral,2.25,medio,weekday
1603,765,jueves,AIR CANADA,TORONTO,canadá / méxico,Hub,Gates 91-102,2018-12-31,130.0,Limpio,Muy seguro,Algo satisfecho,2.1666666666666665,medio,weekday
1604,2808,jueves,DELTA,LOS ÁNGELES,oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,190.0,Algo limpio,Muy seguro,Algo satisfecho,3.1666666666666665,largo,weekday
1605,2908,viernes,TURKISH AIRLINES,ESTAMBUL,medio oriente,Hub,Gates 91-102,2018-12-31,165.0,Promedio,Neutral,Neutral,2.75,medio,weekday
1607,612,jueves,JETBLUE,BOSTON,este de ee. uu.,Large,Gates 1-12,2018-12-31,192.0,Limpio,Muy seguro,Algo satisfecho,3.2,largo,weekday
1608,2127,miércoles,FRONTIER,DENVER,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,153.0,Algo limpio,Algo inseguro,Algo satisfecho,2.55,medio,weekday
1609,1608,jueves,VIRGIN ATLANTIC,LONDON HEATHROW,europa,Hub,Gates 1-12,2018-12-31,230.0,Algo limpio,Muy seguro,Muy satisfecho,3.8333333333333335,largo,weekday
1610,2800,jueves,DELTA,SALT LAKE CITY,oeste de ee. uu.,Medium,Gates 40-48,2018-12-31,155.0,Algo limpio,Algo seguro,Neutral,2.5833333333333335,medio,weekday
1612,666,viernes,UNITED INTL,MUNICH,europa,Hub,Gates 91-102,2018-12-31,235.0,Algo limpio,Algo seguro,Algo satisfecho,3.9166666666666665,largo,weekday
1613,768,domingo,ALASKA,NUEVA YORK-JFK,este de ee. uu.,Hub,Gates 50-59,2018-12-31,150.0,Limpio,Muy seguro,Muy satisfecho,2.5,medio,weekend
1614,3126,domingo,ALASKA,NEWARK,este de ee. uu.,Hub,Gates 50-59,2018-12-31,71.9999999999999,Algo limpio,Algo seguro,Algo satisfecho,1.1999999999999984,medio,weekend
1615,2011,viernes,AIR FRANCE / KLM,PARIS-DE GAULLE,europa,Hub,Gates 1-12,2018-12-31,125.0,Limpio,Algo seguro,Muy satisfecho,2.0833333333333335,medio,weekday
1616,12,martes,SUDOESTE,LOS ÁNGELES,oeste de ee. uu.,Hub,Gates 20-39,2018-12-31,80.0,Promedio,Algo seguro,Neutral,1.3333333333333333,medio,weekday
1618,905,martes,ALASKA,RALEIGH-DURHAM,este de ee. uu.,Medium,Gates 50-59,2018-12-31,130.0,Algo limpio,Muy seguro,Algo satisfecho,2.1666666666666665,medio,weekday
1619,903,martes,ALASKA,RALEIGH-DURHAM,este de ee. uu.,Medium,Gates 50-59,2018-12-31,280.0,Algo limpio,Muy seguro,Muy satisfecho,4.666666666666667,largo,weekday
1620,1117,jueves,DELTA,MINNEAPOLIS-ST. PAUL,midwest us,Hub,Gates 40-48,2018-12-31,405.0,Algo limpio,Muy seguro,Muy satisfecho,6.75,largo,weekday
1621,1110,martes,SUDOESTE,SAN DIEGO,oeste de ee. uu.,Medium,Gates 20-39,2018-12-31,130.0,Limpio,Muy seguro,Muy satisfecho,2.1666666666666665,medio,weekday
1622,1915,sábado,AIR FRANCE / KLM,PARIS-DE GAULLE,europa,Hub,Gates 1-12,2018-12-31,245.0,Algo limpio,Algo seguro,Algo satisfecho,4.083333333333333,largo,weekend
1623,1265,jueves,CATHAY PACIFIC,HONG KONG,asia,Hub,Gates 1-12,2018-12-31,215.0,Algo limpio,Algo seguro,Algo satisfecho,3.5833333333333335,largo,weekday
1624,815,domingo,ALASKA,PORTLAND,oeste de ee. uu.,Medium,Gates 50-59,2018-12-31,140.0,Promedio,Neutral,Neutral,2.3333333333333335,medio,weekend
1625,948,jueves,AIR CANADA,VANCOUVER,canadá / méxico,Medium,Gates 91-102,2018-12-31,120.0,Algo limpio,Muy seguro,Algo satisfecho,2.0,medio,weekday
1627,1467,martes,ALASKA,NUEVA YORK-JFK,este de ee. uu.,Hub,Gates 50-59,2018-12-31,70.0000000000001,Limpio,Muy seguro,Muy satisfecho,1.1666666666666683,medio,weekday
1628,2094,jueves,AMERICAN,PHILADELPHIA,east us,Large,Gates 50-59,2018-12-31,87.0,Limpio,Muy seguro,Muy satisfecho,1.45,medio,weekday
1631,2754,miércoles,AIR FRANCE / KLM,PARIS-DE GAULLE,europa,Hub,Gates 1-12,2018-12-31,240.0,Algo limpio,Algo seguro,Algo satisfecho,4.0,largo,weekday
1632,2553,sábado,JETBLUE,BOSTON,este de ee. uu.,Large,Gates 1-12,2018-12-31,120.0,Algo limpio,Algo seguro,Algo satisfecho,2.0,medio,weekend
1633,2608,sábado,AEROMEXICO,CIUDAD DE MÉXICO,canadá / méxico,Hub,Gates 1-12,2018-12-31,125.0,Promedio,Algo seguro,Neutral,2.0833333333333335,medio,weekend
1634,3059,domingo,PHILIPPINE AIRLINES,MANILA,asia,Medium,Gates 1-12,2018-01-01,275.0,Algo limpio,Algo seguro,Algo satisfecho,4.583333333333333,largo,weekend
1635,1515,miércoles,DELTA,LOS ÁNGELES,oeste de ee. uu.,Hub,Gates 40-48,2018-12-31,45.0,Limpio,Muy seguro,Algo satisfecho,0.75,corto,weekday
1636,1955,sábado,AIR FRANCE / KLM,PARIS-DE GAULLE,europa,Hub,Gates 1-12,2018-12-31,155.0,Algo limpio,Algo seguro,Algo satisfecho,2.5833333333333335,medio,weekend
1637,974,viernes,LUFTHANSA,MUNICH,europa,Hub,Gates 91-102,2018-12-31,175.0,Algo limpio,Algo seguro,Algo satisfecho,2.9166666666666665,medio,weekday
1638,527,jueves,EMIRATES,DUBAI,medio oriente,Hub,Gates 1-12,2018-12-31,165.0,Limpio,Muy seguro,Neutral,2.75,medio,weekday
1639,2619,sábado,INTERJET,GUADALAJARA,canadá / méxico,Medium,Gates 1-12,2018-12-31,165.0,Promedio,Neutral,Muy satisfecho,2.75,medio,weekend
1640,437,domingo,UNITED,HONOLULU,oeste de ee. uu.,Medium,Gates 70-90,2018-12-31,185.0,Algo limpio,Muy seguro,Algo satisfecho,3.0833333333333335,largo,weekend
1641,271,jueves,UNITED,LOS ANGELES,oeste de ee. uu.,Hub,Gates 70-90,2018-12-31,80.0,Limpio,Algo seguro,Algo satisfecho,1.3333333333333333,medio,weekday
1642,2149,miércoles,AIR CANADA,VANCOUVER,canadá / méxico,Medium,Gates 91-102,2018-12-31,84.9999999999999,Limpio,Muy seguro,Muy satisfecho,1.416666666666665,medio,weekday
1643,755,jueves,AIR CANADA,TORONTO,canadá / méxico,Hub,Gates 91-102,2018-12-31,145.0,Limpio,Muy seguro,Muy satisfecho,2.4166666666666665,medio,weekday
1644,2934,martes,SUDOESTE,SAN DIEGO,oeste de ee. uu.,Medium,Gates 20-39,2018-12-31,15.0000000000001,Algo limpio,Muy seguro,Algo satisfecho,0.25000000000000167,corto,weekday
1645,2389,miércoles,UNITED INTL,BEIJING,asia,Hub,Gates 91-102,2018-12-31,285.0,Limpio,Algo seguro,Algo satisfecho,4.75,largo,weekday
1646,1959,martes,UNITED,BOSTON,este de ee. uu.,Large,Gates 70-90,2018-12-31,84.9999999999999,Algo limpio,Muy seguro,Algo satisfecho,1.416666666666665,medio,weekday
